paket_numarasi,uydu_statusu,hata_kodu,gonderme_saat,basinc1,basinc2,yukseklik1,yukseklik2,irtifa_farki,inis_hizi,sicaklik,pil_gerilim,gps_latitude,gps_longitude,gps_altitude,pitch,yaw,roll,takim_no,video_aktarim_bilgisi
11,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
12,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
13,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.1799999999999499,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
14,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.0899999999999181,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
15,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.4500000000000455,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
16,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.1799999999999499,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
17,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.0,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
18,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
19,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.4400000000000545,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
20,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,0.0899999999999181,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
21,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,0.0,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
22,0,1/1/0/0/0,Time,92734,0,741.13,0,741.13,0.0900000000000318,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
23,0,1/0/0/0/0,Time,92729,0,741.57,0,741.57,-0.4400000000000545,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
24,0,1/1/0/0/0,Time,92735,0,741.04,0,741.04,0.5300000000000864,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
25,0,1/1/0/0/0,Time,92736,0,740.95,0,740.95,0.0899999999999181,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
26,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-1.25,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
